accession,symbol,log2FoldChange,AveExpr,t,pvalue,padj,B,significant
GSE40435,LDHB,-1.4022777325643578,11.874706143024753,-27.780371486659313,2.8521390525785107e-49,5.192551296072296e-47,101.95168723252904,TRUE
GSE40435,SCNN1G,-2.742878145821785,8.296525223306931,-27.744041285285906,3.208208818778877e-49,5.807043407586229e-47,101.83422392639876,TRUE
GSE40435,GPD1L,-1.5548352596534663,9.946364206806932,-27.738506476815747,3.266260845776719e-49,5.878143225554723e-47,101.81631811613848,TRUE
GSE40435,VSIG8,-1.1815760188118816,7.356625285029703,-27.70497933636605,3.6412770616252894e-49,6.486069907696511e-47,101.70779361889392,TRUE
GSE40435,CSDA,1.2297283990099004,11.76902355990099,27.704622929891066,3.645488611338653e-49,6.486069907696511e-47,101.70663940857548,TRUE
GSE40435,ACAD8,-0.5830596180049515,7.917452529438119,-27.658082774733984,4.2398755459182026e-49,7.500986601405796e-47,101.55582064161932,FALSE
GSE40435,PTPRE,0.827081387150991,7.636350803875,27.6133031235365,4.903985219152865e-49,8.608882998024155e-47,101.41051929089683,FALSE
GSE40435,FAM151A,-3.5173364976584174,8.71920015214109,-27.61223233115543,4.9210897893795866e-49,8.608882998024155e-47,101.40704251908521,TRUE
GSE40435,FMO5,-1.5030694402574276,7.903719454683168,-27.546987273517328,6.085315866849443e-49,1.0586421169695747e-46,101.1949981719111,TRUE
GSE40435,SEMA3B,-1.2508148279009896,7.660890425321782,-27.54280746288273,6.1687456261080825e-49,1.0672270747842458e-46,101.1814005483234,TRUE
GSE40435,ANGPT2,1.7565775015346536,7.891688965757425,27.47790832637596,7.622661926540821e-49,1.3115166789434025e-46,100.97006578586522,TRUE
GSE40435,GLDC,-2.8880583519306926,9.560724710648515,-27.420199769325233,9.203920376452292e-49,1.574926571957525e-46,100.7818188039744,TRUE
GSE40435,GABARAPL1,-1.7402323533366342,10.790996374816832,-27.39979951030317,9.83885304126944e-49,1.6744230659473438e-46,100.71519870291833,TRUE
GSE40435,CGNL1,-2.4338003232079215,11.316822634039603,-27.374929117116455,1.0673004738363096e-48,1.806564704741092e-46,100.63392843838636,TRUE
GSE40435,EHD2,1.291215792089111,7.889096065767327,27.371378076308222,1.0797791368024983e-48,1.817860424184593e-46,100.62231983057893,TRUE
GSE40435,NTNG1,-1.3057573040891084,7.365488418940594,-27.364327421018437,1.1049936064799656e-48,1.8503620210328154e-46,100.59926725678142,TRUE
GSE40435,NPHS1,-1.7183294687425752,7.5066218056782175,-27.35277266049806,1.1476063325570278e-48,1.911497058387807e-46,100.56147822326237,TRUE
GSE40435,TNNT2,-0.8647081003267327,7.213862740643564,-27.350731346533543,1.1553049707654333e-48,1.9141386166427925e-46,100.55480095829239,FALSE
GSE40435,LOC113230,-1.0378437567524765,7.658013377722773,-27.343967938159487,1.1811867404876217e-48,1.9467200837699676e-46,100.53267465814828,TRUE
GSE40435,EGLN3,1.7917161608811891,7.836644723638614,27.33671160798497,1.2096055106324626e-48,1.9831197361227715e-46,100.50893104396926,TRUE
GSE40435,PRKCDBP,1.6295246004455473,9.761547878222773,27.32115296587745,1.2728861082025214e-48,2.0759976870965497e-46,100.45800470715677,TRUE
GSE40435,RHBDF2,0.7446022523935657,7.828709437644802,27.29011458639017,1.409280921723939e-48,2.286540040562872e-46,100.35634291628918,FALSE
GSE40435,LGALS1,2.0161825042970323,11.243072114782178,27.285818162025755,1.4292888286015733e-48,2.3070489885994672e-46,100.34226351161577,TRUE
GSE40435,TNNC1,-0.94553884441584235,7.196790665762376,-27.18072794110008,2.0188465668113053e-48,3.2419569945194467e-46,99.99734522073193,FALSE
GSE40435,KLK6,-0.7737852530841589,7.108192338180693,-27.11517203514482,2.5054598035506854e-48,4.002855524917661e-46,99.78165912729328,FALSE
GSE40435,HS6ST2,-0.8410678173432354,7.034438361077558,-27.106721713488355,2.576255816358587e-48,4.095069778347858e-46,99.7538272760231,FALSE
GSE40435,SCNN1A,-3.5400308835346537,10.010681486747524,-27.05149120233764,3.09139278862286e-48,4.877128260691079e-46,99.57175541658793,TRUE
GSE40435,LRRC19,-1.6098810856039616,7.95459792639604,-27.049880008575165,3.107888655446602e-48,4.877128260691079e-46,99.56643967249406,TRUE
GSE40435,SUOX,-0.7836659131122119,8.402155354288778,-27.049189774725665,3.1149826024724274e-48,4.877128260691079e-46,99.56416233799035,FALSE
GSE40435,ELMO1,0.490685598930693,7.28722363115099,27.041316618691663,3.197064584862743e-48,4.980740318924972e-46,99.53818273163584,FALSE
GSE40435,IKBIP,0.7136110236336637,7.255511959070957,27.017639330713415,3.45729753955907e-48,5.3594957996907286e-46,99.46001788730501,FALSE
GSE40435,TUBA1B,1.1755701925742577,12.32022665569307,27.002071806965137,3.6399382032536546e-48,5.6148288126445785e-46,99.40859663541971,TRUE
GSE40435,PLG,-4.198213712663369,9.284338138836633,-26.972233043928803,4.0176692906621615e-48,6.167122361166418e-46,99.30997189378002,TRUE
GSE40435,ALDH4A1,-2.503857348732675,8.926499168945545,-26.96775046869128,4.0777353142051194e-48,6.2287904209277616e-46,99.29514856284553,TRUE
